No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower
241,F,Kitawase,Pin,F-P02,15.68,245.86,10.8,116.64,246
242,F,Kitawase,Thrum,F-T02,9.38,87.98,6.34,40.2,91
243,F,Kitawase,Thrum,F-T02,10.55,111.3,10.03,100.6,167
244,F,Kitawase,Thrum,F-T02,14.33,205.35,11.13,123.88,NA
245,F,Kitawase,Thrum,F-T02,13.73,188.51,10.49,110.04,100
246,F,Kitawase,Thrum,F-T02,13.37,178.76,9.51,90.44,185
247,F,Kitawase,Thrum,F-T02,16.16,261.15,10.21,104.24,NA
248,F,Kitawase,Thrum,F-T02,10.54,111.09,10.66,113.64,NA
249,F,Kitawase,Thrum,F-T02,10.28,105.68,9.02,81.36,NA
250,F,Kitawase,Thrum,F-T02,12.58,158.26,8.88,78.85,NA
251,F,Kitawase,Thrum,F-T02,16.56,274.23,13.69,187.42,NA
252,F,Kitawase,Thrum,F-T02,10.8,116.64,9.94,98.8,NA
253,F,Kitawase,Thrum,F-T02,8.89,79.03,8.16,66.59,NA
254,F,Kitawase,Thrum,F-T02,9.89,97.81,5.73,32.83,99
255,F,Kitawase,Thrum,F-T02,6.02,36.24,6.85,46.92,NA
256,F,Kitawase,Thrum,F-T02,11.52,132.71,7.35,54.02,NA
257,F,Kitawase,Thrum,F-T02,9.94,98.8,8.32,69.22,125
258,F,Kitawase,Thrum,F-T02,13.4,179.56,8.76,76.74,NA
259,F,Kitawase,Thrum,F-T02,13.26,175.83,9.17,84.09,NA
260,F,Kitawase,Thrum,F-T02,4.2,17.64,4.77,22.75,16
261,F,Kitawase,Thrum,F-T02,13.43,180.36,7.52,56.55,NA
262,F,Kitawase,Thrum,F-T02,8.53,72.76,6.86,47.06,NA
263,F,Kitawase,Thrum,F-T02,14.43,208.22,8.66,75,NA
264,F,Kitawase,Thrum,F-T02,9.66,93.32,7.74,59.91,NA
265,F,Kitawase,Thrum,F-T02,9.8,96.04,6.59,43.43,NA
266,F,Kitawase,Thrum,F-T02,3.01,9.06,3.72,13.84,NA
267,F,Kitawase,Thrum,F-T02,9.82,96.43,6.86,47.06,NA
268,F,Kitawase,Thrum,F-T02,11.31,127.92,5.78,33.41,NA
269,F,Kitawase,Thrum,F-T02,7.33,53.73,7.4,54.76,NA
270,F,Kitawase,Thrum,F-T02,7.62,58.06,6.7,44.89,NA
271,F,Kitawase,Thrum,F-T02,10.96,120.12,5.58,31.14,NA
272,F,Kitawase,Thrum,F-T02,12.93,167.18,6.94,48.16,NA
273,F,Kitawase,Thrum,F-T02,12.73,162.05,9.1,82.81,NA
274,F,Kitawase,Thrum,F-T02,12.95,167.7,8.95,80.1,NA
275,F,Kitawase,Thrum,F-T02,8.9,79.21,6.42,41.22,NA
276,F,Kitawase,Thrum,F-T02,13.53,183.06,8.67,75.17,NA
277,F,Kitawase,Thrum,F-T02,4.52,20.43,5.84,34.11,NA
278,F,Kitawase,Thrum,F-T02,7.84,61.47,7.17,51.41,NA
279,F,Kitawase,Thrum,F-T02,11.01,121.22,8.26,68.23,NA
280,F,Kitawase,Thrum,F-T02,9.55,91.2,6.91,47.75,NA
281,F,Kitawase,Thrum,F-T02,10.51,110.46,6.79,46.1,NA
282,F,Kitawase,Thrum,F-T02,6.7,44.89,7.2,51.84,27
283,F,Kitawase,Thrum,F-T02,13.37,178.76,5.91,34.93,87
284,F,Kitawase,Thrum,F-T02,5.46,29.81,4.89,23.91,33
285,F,Kitawase,Thrum,F-T02,8.01,64.16,6.37,40.58,84
286,F,Kitawase,Thrum,F-T02,8.54,72.93,7.55,57,86
