No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
139,F,Kitawase,Pin,F-P01,14.96,223.8,9.04,81.72,NA,183.13539,183
140,F,Kitawase,Pin,F-P01,19.62,384.94,6.99,48.86,NA,185.9164789,186
141,F,Kitawase,Pin,F-P01,15.07,227.1,7.6,57.76,NA,160.4364387,160
142,F,Kitawase,Pin,F-P01,8.15,66.42,5.12,26.21,42,62.17293112,42
143,F,Kitawase,Pin,F-P01,7.75,60.06,5.3,28.09,43,62.32496132,43
144,F,Kitawase,Pin,F-P01,9.38,87.98,9.3,86.49,117,143.2627295,117
145,F,Kitawase,Pin,F-P01,8.64,74.65,8.39,70.39,106,122.8461237,106
146,F,Kitawase,Pin,F-P01,11.7,136.89,6.03,36.36,74,106.6567986,74
147,F,Kitawase,Pin,F-P01,14.14,199.94,13.75,189.06,262,244.4167883,262
148,F,Kitawase,Thrum,F-T01,7.91,62.57,5.25,27.56,NA,62.67060586,63
149,F,Kitawase,Thrum,F-T01,4.97,24.7,4.43,19.62,NA,24.23837388,24
150,F,Kitawase,Thrum,F-T01,6.82,46.51,4.14,17.14,NA,33.31940989,33
151,F,Kitawase,Thrum,F-T01,NA,NA,NA,NA,12,NA,12
152,F,Kitawase,Thrum,F-T01,11.74,137.83,3.06,9.36,16,51.14341239,16
153,F,Kitawase,Thrum,F-T01,13.48,181.71,4.48,20.07,NA,92.26017319,92
154,F,Kitawase,Thrum,F-T01,8.97,80.46,5.37,28.84,NA,73.220876,73
155,F,Kitawase,Thrum,F-T01,15.93,253.76,4.7,22.09,NA,115.701422,116
156,F,Kitawase,Thrum,F-T01,8.96,80.28,4.24,17.98,NA,52.09007357,52
157,F,Kitawase,Thrum,F-T01,9.11,82.99,5.27,27.77,NA,72.49652936,72
158,F,Kitawase,Thrum,F-T01,12.74,162.31,5.58,31.14,NA,106.7595881,107
159,F,Kitawase,Thrum,F-T01,12.41,154.01,5.37,28.84,NA,100.3368307,100
160,F,Kitawase,Thrum,F-T01,12.11,146.65,5.59,31.25,NA,101.9754084,102
161,F,Kitawase,Thrum,F-T01,13.07,170.82,5.56,30.91,NA,109.0004032,109
162,F,Kitawase,Thrum,F-T01,14.16,200.51,9.17,84.09,NA,178.8901578,179
